,problem_id,success_rate,type
0,Airstrike,1.0,project
1,FileIO_echo,0.9579207920792079,lab
2,FileIO_runways,0.9431524547803618,lab
3,FileIO_survivors_by_gender,0.8668341708542714,lab
4,FileIO_titanicfares,0.6,lab
5,FileIO_titanicsurvivor,0.6506024096385542,lab
6,Graphics2_bouncingball,1.0,lab
7,Graphics2_bouncingtriangle,1.0,lab
8,Graphics3_paint,1.0,lab
9,Graphics3_soundboard,1.0,lab
10,IterLogic1_averagerun,0.95,lab
11,IterLogic1_cargocapacity,0.9350961538461539,lab
12,IterLogic1_count,0.9764150943396226,lab
13,IterLogic1_countby10s,0.8356164383561644,lab
14,IterLogic1_dvc,0.9047619047619048,lab
15,IterLogic1_squadrons,0.864,lab
16,IterLogic1_waittimes,0.905982905982906,lab
17,IterLogic2_class2017,0.9760765550239234,lab
18,IterLogic2_coordinates,0.810126582278481,lab
19,IterLogic2_counting,0.7925925925925926,lab
20,IterLogic2_football,0.9516908212560387,lab
21,IterLogic2_printchars,0.9306930693069307,lab
22,IterLogic2_timestable,0.9583333333333334,lab
23,Lists1_fastestcar,0.9210526315789473,lab
24,Lists1_listrange,0.964200477326969,lab
25,Lists1_pftscores,0.9803921568627451,lab
26,Lists2_100m,0.854320987654321,lab
27,Lists2_credit,0.726027397260274,lab
28,Lists2_golf,0.8396739130434783,lab
29,Lists2_movies,0.8113207547169812,lab
30,Lists2_population,0.9773299748110831,lab
31,Lists3_averagetraffic,0.6428571428571429,lab
32,Lists3_lowvolume,0.8926829268292683,lab
33,Lists3_popularnames,0.9021164021164021,lab
34,Lists3_sat,0.9083557951482479,lab
35,Lists3_unpopularnames,0.625,lab
36,PA2_practice1,0.995049504950495,lab
37,PA2_practice2,0.8104956268221575,lab
38,PA2_practice3,0.9420289855072463,lab
39,PA2_practice4,0.8846153846153846,lab
40,Recon,1.0,project
41,Skywriter,1.0,project
42,a1_1_aircraft,0.9314079422382672,skill
43,a1_1_bases,0.9384615384615385,skill
44,a1_1_cadet,0.9873417721518988,skill
45,a1_1_dorms,0.9022556390977443,skill
46,a1_1_icbm,0.9228187919463087,skill
47,a1_1_squad,0.9026217228464419,skill
48,a1_2_circles,0.9433962264150944,skill
49,a1_2_cones,0.863013698630137,skill
50,a1_2_interest,0.8272251308900523,skill
51,a1_2_radius,0.9595959595959596,skill
52,a1_2_spheres,0.9162303664921466,skill
53,a1_3_arrow,1.0,skill
54,a1_3_cards,0.9691358024691358,skill
55,a1_3_circles,0.9058823529411765,skill
56,a1_3_cones,0.8085106382978723,skill
57,a1_3_goldilocks,0.9797979797979798,skill
58,a1_3_interest,0.8041237113402062,skill
59,a1_3_radius,0.9523809523809523,skill
60,a1_3_satellite,0.9781420765027322,skill
61,a1_3_speed,0.9885714285714285,skill
62,a1_3_spheres,0.8673469387755102,skill
63,a1_3_vspeed,1.0,skill
64,a1_4_arrow,0.9764705882352941,skill
65,a1_4_cards,1.0,skill
66,a1_4_dog,0.6937984496124031,skill
67,a1_4_goldilocks,0.9680851063829787,skill
68,a1_4_pt,0.7670682730923695,skill
69,a1_4_run,0.725925925925926,skill
70,a1_4_satellite,0.978494623655914,skill
71,a1_4_sickness,0.7547169811320755,skill
72,a1_4_speed,1.0,lab
73,a1_5_fueldepot,0.8109452736318408,lab
74,a1_5_paint,0.8105263157894737,lab
75,a1_5_printer,0.8122270742358079,lab
76,a1_5_runway,0.8121827411167513,lab
77,a1_5_scuba,0.7772277227722773,lab
78,a1_6_broadband,0.711864406779661,lab
79,a1_6_digitalstorage,0.7619047619047619,lab
80,a1_6_evacuation,0.7581699346405228,lab
81,a1_6_fueldepot,0.8210526315789474,lab
82,a1_6_missilethreat,0.7202380952380952,lab
83,a1_6_payload,0.7329192546583851,lab
84,a1_6_pilot_quals,0.7666666666666667,lab
85,a1_6_printer,0.7373737373737373,lab
86,a1_6_runway,0.75,lab
87,a1_6_scuba,0.7555555555555555,lab
88,a1_6_woodshop,0.693069306930693,lab
89,a1_7_broadband,0.6632653061224489,lab
90,a1_7_digitalstorage,0.7272727272727273,lab
91,a1_7_evacuation,0.6989247311827957,lab
92,a1_7_missilethreat,0.7407407407407407,lab
93,a1_7_payload,0.6770833333333334,lab
94,a2_1_calculate,0.83,skill
95,a2_1_calculate_volume,0.9105431309904153,skill
96,a2_1_equation,0.8837209302325582,skill
97,a2_1_future_value,0.9003436426116839,skill
98,a2_1_right_triangle,0.9009433962264151,skill
99,a2_1_surface,0.9107806691449815,skill
100,a2_2_bmi,0.7096774193548387,skill
101,a2_2_hp,0.8233333333333334,skill
102,a2_2_orbit,0.9211822660098522,skill
103,a2_2_speed,0.8947368421052632,skill
104,a2_2_stride,0.8705035971223022,skill
105,a2_2_unladen,0.8541666666666666,skill
106,a2_3_19,0.7291666666666666,skill
107,a2_3_countdown,0.6326530612244898,skill
108,a2_3_eighteen,0.6577540106951871,skill
109,a2_3_fourty_two,0.7472527472527473,skill
110,a2_3_nine,0.7125748502994012,skill
111,a2_3_nineteen,0.7102272727272727,skill
112,a2_3_seventeen,0.6498054474708171,skill
113,a2_3_thirteen,0.6346153846153846,skill
114,a2_3_twenty_one,0.6898954703832753,skill
115,a2_4_colon,0.5373134328358209,skill
116,a2_4_comma,0.5869565217391305,skill
117,a2_4_dash,0.5316455696202531,skill
118,a2_4_hash,0.5348837209302325,skill
119,a2_4_hyphen,0.5028571428571429,skill
120,a2_4_pipe,0.51010101010101,skill
121,a2_4_semic,0.5692307692307692,skill
122,a2_4_slash,0.5585106382978723,skill
123,a2_5_combat,0.5031055900621118,lab
124,a2_5_gameday,0.46107784431137727,lab
125,a2_5_grades,0.5202312138728323,lab
126,a2_5_network_traffic,0.4791666666666667,lab
127,a2_5_traffic_lights,0.4935897435897436,lab
128,a2_5_virus,0.46496815286624205,lab
129,a2_6_attack,0.36619718309859156,lab
130,a2_6_combat,0.6153846153846154,lab
131,a2_6_fastest,0.3724137931034483,lab
132,a2_6_gameday,0.5571428571428572,lab
133,a2_6_grades,0.6756756756756757,lab
134,a2_6_highest_hp,0.3443708609271523,lab
135,a2_6_lowest_defense,0.2727272727272727,lab
136,a2_6_lowest_spec_attack,0.38064516129032255,lab
137,a2_6_lowest_spec_def,0.36363636363636365,lab
138,a2_6_network_traffic,0.4861111111111111,lab
139,a2_6_traffic_lights,0.4838709677419355,lab
140,a2_6_virus,0.5454545454545454,lab
141,a2_7_attack,0.4594594594594595,lab
142,a2_7_fastest,0.40789473684210525,lab
143,a2_7_highest_hp,0.4675324675324675,lab
144,a2_7_lowest_defense,0.40229885057471265,lab
145,a2_7_lowest_spec_attack,0.3333333333333333,lab
146,a3_1_afbs,0.6972111553784861,skill
147,a3_1_cargo,0.6603053435114504,skill
148,a3_1_commands,0.7243816254416962,skill
149,a3_1_countries,0.6705882352941176,skill
150,a3_1_light_aircraft,0.7658227848101266,skill
151,a3_1_medals,0.6736111111111112,skill
152,a3_2_cars,0.8595317725752508,skill
153,a3_2_cities,0.8903654485049833,skill
154,a3_2_departments,0.8580060422960725,skill
155,a3_2_grammys,0.8945578231292517,skill
156,a3_2_jets,0.850909090909091,skill
157,a3_3_aircraft,0.8523809523809524,skill
158,a3_3_animals,0.9170731707317074,skill
159,a3_3_chars1,0.5985915492957746,skill
160,a3_3_chars2,0.6616541353383458,skill
161,a3_3_chars3,0.7161290322580646,skill
162,a3_3_dogs,0.875,skill
163,a3_3_games,0.8486486486486486,skill
164,a3_3_pizza,0.8352272727272727,skill
165,a3_3_ships,0.8844221105527639,skill
166,a3_4_ages,0.8905109489051095,skill
167,a3_4_heights,0.9217081850533808,skill
168,a3_4_ptscores,0.9323843416370107,skill
169,a3_4_run,0.8987854251012146,skill
170,a3_4_testscores,0.921875,skill
171,a3_4_weights,0.9125475285171103,skill
172,a3_5_battleship,0.6702127659574468,skill
173,a3_5_carnival,0.7340823970037453,skill
174,a3_5_chess,0.620817843866171,skill
175,a3_5_connect,0.7456647398843931,skill
176,a3_5_map,0.701067615658363,skill
177,a3_5_star_map,0.6781609195402298,skill
178,a3_6_flighttest,0.5444015444015444,lab
179,a3_6_missiletest,0.5859030837004405,lab
180,a3_6_pushups,0.5533596837944664,lab
181,a3_6_sami,0.5040650406504065,lab
182,a3_6_situps,0.5029239766081871,lab
183,a3_6_tests,0.5481171548117155,lab
184,a3_7_max,0.41025641025641024,lab
185,a3_7_max_lego,0.44214876033057854,lab
186,a3_7_maxpower,0.38461538461538464,lab
187,a3_7_min_lego,0.40711462450592883,lab
188,a3_7_minpower,0.4247104247104247,lab
189,a4_1_area,0.8258064516129032,skill
190,a4_1_buoyancy,0.8273809523809523,skill
191,a4_1_lift,0.7112676056338029,skill
192,a4_2_dog,0.8164556962025317,skill
193,a4_2_pt,0.7682926829268293,skill
194,a4_2_sickness,0.8378378378378378,skill
195,a4_3_aircraft,0.6490066225165563,skill
196,a4_3_new_cars,0.6807228915662651,skill
197,a4_3_parks,0.6346153846153846,skill
198,a4_4_names,0.64375,skill
199,a4_4_squadrons,0.6234567901234568,skill
200,a4_4_year,0.5533333333333333,skill
201,a4_5_areacode,0.5034013605442177,skill
202,a4_5_password,0.539568345323741,skill
203,a4_5_translate,0.541095890410959,skill
204,a4_6_aft,0.4420289855072464,lab
205,a4_6_flighthours,0.43089430894308944,lab
206,a4_6_scores,0.4689655172413793,lab
207,a4_7_fit_e,0.5175879396984925,lab
208,a4_7_fit_u,0.484375,lab
209,caesar,0.9311827956989247,project
210,caesar_gc,0.917960088691796,project
211,lsn10_asteroids,0.7883211678832117,lab
212,lsn10_circle,0.9813953488372092,lab
213,lsn10_distance,0.9905882352941177,lab
214,lsn10_in_circle,0.9478672985781991,lab
215,lsn10_skill1,0.9678111587982833,skill
216,lsn10_skill2,0.9755555555555555,skill
217,lsn11_asteroids,0.7873134328358209,lab
218,lsn11_callme,0.9619450317124736,lab
219,lsn11_circle,0.964765100671141,lab
220,lsn11_distance,0.966499162479062,lab
221,lsn11_imagesize,0.9414316702819957,lab
222,lsn11_in_circle,0.9151103565365025,lab
223,lsn11_skill1,0.9709013484740951,skill
224,lsn11_skill2,0.9629101283880172,skill
225,lsn11_skill3,0.9864864864864865,skill
226,lsn11_triangle,0.9806034482758621,lab
227,lsn12_asteroids,0.8038277511961722,lab
228,lsn12_circle,0.9568965517241379,lab
229,lsn12_distance,0.9678111587982833,lab
230,lsn12_fastestcar,0.920774647887324,lab
231,lsn12_in_circle,0.9098901098901099,lab
232,lsn12_listrange,0.9588336192109777,lab
233,lsn12_pftscores,0.9458544839255499,lab
234,lsn12_skill1,0.9773049645390071,skill
235,lsn12_skill2,0.9545131485429993,skill
236,lsn13_averagerun,0.9602649006622517,lab
237,lsn13_cargocapacity,0.9321533923303835,lab
238,lsn13_count,0.9886899151743638,lab
239,lsn13_countby10s,0.8498942917547568,lab
240,lsn13_dvc,0.7637130801687764,lab
241,lsn13_skill1,0.9921203438395415,skill
242,lsn13_skill2,0.98274622573688,skill
243,lsn13_squadrons,0.8855421686746988,lab
244,lsn13_waittimes,0.8997613365155132,lab
245,lsn14_class2017,0.970106075216972,lab
246,lsn14_coordinates,0.854251012145749,lab
247,lsn14_counting,0.946969696969697,lab
